href,Occupation,type,grp,group
/ooh/architecture-and-engineering/home.htm,Architecture and Engineering,group,architecture-and-engineering,Architecture and Engineering
/ooh/arts-and-design/home.htm,Arts and Design,group,arts-and-design,Arts and Design
/ooh/building-and-grounds-cleaning/home.htm,Building and Grounds Cleaning,group,building-and-grounds-cleaning,Building and Grounds Cleaning
/ooh/business-and-financial/home.htm,Business and Financial,group,business-and-financial,Business and Financial
/ooh/community-and-social-service/home.htm,Community and Social Service,group,community-and-social-service,Community and Social Service
/ooh/computer-and-information-technology/home.htm,Computer and Information Technology,group,computer-and-information-technology,Computer and Information Technology
/ooh/construction-and-extraction/home.htm,Construction and Extraction,group,construction-and-extraction,Construction and Extraction
/ooh/education-training-and-library/home.htm,"Education, Training, and Library",group,education-training-and-library,"Education, Training, and Library"
/ooh/entertainment-and-sports/home.htm,Entertainment and Sports,group,entertainment-and-sports,Entertainment and Sports
/ooh/farming-fishing-and-forestry/home.htm,"Farming, Fishing, and Forestry",group,farming-fishing-and-forestry,"Farming, Fishing, and Forestry"
/ooh/food-preparation-and-serving/home.htm,Food Preparation and Serving,group,food-preparation-and-serving,Food Preparation and Serving
/ooh/healthcare/home.htm,Healthcare,group,healthcare,Healthcare
/ooh/installation-maintenance-and-repair/home.htm,"Installation, Maintenance, and Repair",group,installation-maintenance-and-repair,"Installation, Maintenance, and Repair"
/ooh/legal/home.htm,Legal,group,legal,Legal
/ooh/life-physical-and-social-science/home.htm,"Life, Physical, and Social Science",group,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/management/home.htm,Management,group,management,Management
/ooh/math/home.htm,Math,group,math,Math
/ooh/media-and-communication/home.htm,Media and Communication,group,media-and-communication,Media and Communication
/ooh/military/military-careers.htm,Military,group,military,Military
/ooh/office-and-administrative-support/home.htm,Office and Administrative Support,group,office-and-administrative-support,Office and Administrative Support
/ooh/personal-care-and-service/home.htm,Personal Care and Service,group,personal-care-and-service,Personal Care and Service
/ooh/production/home.htm,Production,group,production,Production
