Country Name,Country Code,"Population2023","GrowthRate2023","FertilityRate2022","LifeExpectancy2022","DeathRate2022","MortalityRate2022","NetMigration2022"
Aruba,ABW,106277,-0.001578279862839982,1.179,74.992,11.084,,160.5
Africa Eastern and Southern,AFE,739108306,0.02531586712284306,4.288787507398918,62.89903064853823,7.8409513727738975,40.7976245515238,-273015.5
Afghanistan,AFG,42239854,0.02701473866068116,4.523,62.879,6.906,44.8,-65846.0
Africa Western and Central,AFW,502789511,0.02540864090404904,4.897322111287333,57.62617616419705,10.264188391858749,59.13002874645642,-184721.0
Angola,AGO,36684202,0.030773986345832283,5.209,61.929,7.863,45.7,-1000.0
Albania,ALB,2745972,-0.011418484934778483,1.376,76.833,11.194,8.4,-8000.0
Andorra,AND,80088,0.00330727600721592,,,4.6,2.6,200.0
Arab World,ARB,473272080,0.018479545475410086,3.099501599381436,71.22727445474376,5.625761419965098,23.971367940196043,303574.5
United Arab Emirates,ARE,9516871,0.00802255747167524,1.443,79.196,1.865,4.3,0.0
Argentina,ARG,46654581,0.009078675102730971,1.876,76.06399999999998,8.589,8.4,3802.0
Armenia,ARM,2777970,-0.0008987692364129662,1.575,73.372,11.881,9.2,-5000.0
American Samoa,ASM,43914,-0.008108779617373996,,,7.8,,-800.0
Antigua and Barbuda,ATG,94298,0.005705875451937237,1.58,79.236,6.094,8.099999999999998,0.0
Australia,AUS,26638544,0.02399228980842505,1.63,83.2,7.3,3.2,139991.0
Austria,AUT,9132383,0.010012551633509448,1.41,81.09268292682928,10.3,2.6,19999.0
Azerbaijan,AZE,10112555,-0.0028792844158348485,1.67,73.488,6.0,16.1,0.0
Burundi,BDI,13238559,0.027074823873182385,4.98,61.977,7.311,36.4,2000.0
Belgium,BEL,11822592,0.011704618950806545,1.53,81.69756097560978,10.0,3.1,23999.0
Benin,BEN,13712828,0.02695781219669424,4.895,59.954,9.323,53.6,-200.0
Burkina Faso,BFA,23251485,0.02547980348386836,4.665,59.766,8.662,50.1,-24998.0
Bangladesh,BGD,172954319,0.010327615331435336,1.95,73.69799999999998,5.296,24.1,-309977.0
Bulgaria,BGR,6430370,-0.0053714584638095975,1.78,74.3609756097561,18.4,5.0,-4800.0
Bahrain,BHR,1485509,0.009017594361762082,1.797,79.24599999999998,2.476,5.6,0.0
"Bahamas, The",BHS,412623,0.0064368365594755774,1.38,74.358,7.298,11.2,1000.0
Bosnia and Herzegovina,BIH,3210847,-0.0070137057812431625,1.346,75.293,15.865,5.2,-500.0
Belarus,BLR,9178298,-0.005393651609312489,1.495,73.11146341463416,15.49,1.9,13013.0
Belize,BLZ,410825,0.01370190884146938,1.989,70.962,6.253,9.4,600.0
Bermuda,BMU,63489,-0.0016667977042220672,1.3,81.571,9.1,,0.0
Bolivia,BOL,12388571,0.01345382199603895,2.584,64.928,9.062,19.6,-3000.0
Brazil,BRA,216422446,0.0051503877383478605,1.626,73.42499999999998,8.138999999999998,12.5,6212.5
Barbados,BRB,281995,0.0012782502174801813,1.634,77.706,9.114,10.1,-80.0
Brunei Darussalam,BRN,452524,0.007844063055398419,1.764,74.551,5.431,8.5,0.0
Bhutan,BTN,787424,0.006350524950316627,1.398,72.229,6.356,20.1,300.0
Botswana,BWA,2675352,0.01712963103772358,2.754,65.913,6.897,31.2,3000.0
Central African Republic,CAF,5742315,0.02924660127073264,5.918,54.477,11.003,73.5,-16089.5
Canada,CAN,40097761,0.029756884707220488,1.33,81.29560975609756,8.599999999999998,4.3,249166.0
Central Europe and the Baltics,CEB,100156608,0.0004829371625689749,1.495327340488473,76.79008321335547,13.266898578261202,3.9367914123500727,1939205.0
Switzerland,CHE,8849852,0.008442801535137656,1.39,83.45365853658537,8.5,3.5,39998.0
Channel Islands,CHI,175346,0.007278304677761137,1.469,81.583,8.21466115958846,,900.0
Chile,CHL,19629590,0.0013189834813605028,1.539,79.519,7.199,5.4,-69027.5
China,CHN,1410710000,-0.0010374068369712883,1.175,78.587,7.37,4.8,-310800.0
Cote d'Ivoire,CIV,28873034,0.025301075526174225,4.342,58.916,8.843,52.4,6000.0
Cameroon,CMR,28647293,0.02625001540416072,4.383,60.958,8.224999999999998,47.0,-4800.0
"Congo, Dem. Rep.",COD,102262808,0.032851116408073144,6.106,59.743,9.352,60.1,-14999.0
"Congo, Rep.",COG,6106869,0.022853485782584396,4.095,63.053,7.275,31.2,-1000.0
Colombia,COL,52085168,0.004070322364041035,1.692,73.659,7.409,10.6,-171487.5
Comoros,COM,852075,0.018285701993608683,3.912,63.68,8.528,38.2,-2000.0
Cabo Verde,CPV,598682,0.009328178923002415,1.879,74.72199999999998,5.659,10.6,-1241.5
Costa Rica,CRI,5212173,0.006049997017851805,1.522,77.31999999999998,7.113,6.9,3800.0
Caribbean small states,CSS,3167738,0.006571536518086507,1.9663419295910047,71.03467708656056,8.676060099960058,15.869480973001018,-3800.0
Cuba,CUB,11194449,-0.001582384745318688,1.449,78.155,9.852,6.2,-6000.0
Curacao,CUW,147862,-0.014227046054561487,1.3,,9.3,,515.0
Cyprus,CYP,1260138,0.006911772226341872,1.311,81.88899999999998,6.971,2.7,5000.0
Czechia,CZE,10873689,0.01888762849136416,1.61774660294866,79.02926829268293,11.3,2.1,22011.0
